Label_Value,Code
Cathodic protection,849115
Bugle,840518
Laterallus,992965
Organic wastes as soil amendments,1047752
Airspace (International law),803869
Lubrication and lubricants,1003341
Critical phenomena (Physics),883681
Cuban prose literature,884827
Energy transfer,910263
Energy storage,910245
Angami language,808727
Spring plants,1130923
Drosophilidae,898432
Ingots,973343
Microbial insecticides,1019514
Art and technology,815441
Bristol airplanes,839031
Church--Apostolicity,860365
Deer farming,889547
Information theory in psychology,973179
Cuon,885211
Deep-sea animals,889502
Deep-sea biology,889503
Marine habitats,1762818
Mariculture,1009241
Plant propagation,1065654
Grand unified theories (Nuclear physics),946336
Electromagnetic interactions,906549
Transforming growth factors-beta,1154662
Nickel,1037441
Food chains (Ecology),930712
Animals--Food,809499
Astrorhizidae,819818
"Eunicidae, Fossil",916498
Selective estrogen receptor modulators,1111386
Economics historians,902246
War and emergency legislation,1170432
Ostracoda,1048852
Brackish water animals,837476
Leptonychotes,996412
Vacation schools,1163520
Presbyterian Church--Education,1075530
Collateralized debt obligations,1201537
Enterovirus diseases,912634
Dakota language,887155
Lepomis,996317
Metal sculpture,1017665
Language disorders,992363
Sculpins,1109472
Scorpaeniformes,1109089
Judaism--Study and teaching,984412
Jewish religious education,982909
Jewish learning and scholarship,982825
Television plays,1146972
Literature--Adaptations,999955
Kerchiefs,986865
Scarves,1106569
Phyllostegia,1982863
Uricosuric agents,1742897
Gout suppressants,1742898
Coleophora,867050
Paranoia,1053030
Psychoses,1081693
Uveitis,1163384
Arthropod surveys,817137
Entomology--Methodology,912745
Law--Language,993769
Delegated legislation,889920
Scientific literature,1108873
Country dancing,1761748
Sea birds,1109988
Water birds,1171557
Mosaics,1026687
Reproductive health,1095004
Fugue (Psychology),935956
Memory disorders,1015948
Dissociative disorders,895443
Marine engineering,1009532
Applied linguistics,811758
Logistics,1002084
"Plots (Drama, novel, etc.)",1067227
Wetland restoration,1174192
Wetland management,1174175
Clavichord,863795
Ferrous salts,923132
Iron salts,979318
School children--Transportation,1107227
Wakhi literature,1170003
Mniaceae,1024184
Anabrus,808205
Snapdragons,1121855
Universities and colleges--Insignia,1161812
Zande language,1184037
Soybean processing plants,1127575
Mamfe Bantu languages,1006928
Phasmatoptera,1060430
"Manuscripts, Classical (Papyri)",1008314
Manuscripts (Papyri),1008260
Copper in the body,878470
Leuresthes,996942
Mecinus,1763783
Age and employment,800139
Finnish newspapers,925076
Jitterbug (Dance),983635
Air pilots with disabilities,802466
Spectroradiometer,1129104
Spectrometer,1129083
Radiometers,1088310
Abstraction--Testing,794772
Wrasses,1181531
Navajo literature,1034895
Society libraries,1123799
Jews--Civilization,983166
Teachers--Sexual behavior,1144379
Nonionic contrast media,1038766
Radiographic contrast media,1743786
Alkali metals,805374
Transportation--Taxation,1155223
Lamponidae,991152
Legal certainty,995443
Pancreas--Diseases,1051979
African Americans in dentistry,799725
Ladybugs,990707
Arabists,812574
Women Middle East specialists,1737185
Pitch,1064885
Bituminous materials,833512
Winchester firearms,1175570
Painting from photographs,1050633
Art and photography,815420
Middle Ages,1020301
Precipitation forecasting,1074948
Weather forecasting,1173142
Portfolios in education,1072085
Astronautics--Optical communication systems,819544
Optical communications,1046655
Laser communication systems,992797
Astronautics--Communication systems,819516
Mixtec Indians,1024124
Fulgoridae,936001
Semites,1112376
Teenage girls,1145412
Cast glass,1747749
"Medicine, Experimental",1015244
"Physiology, Experimental",1063211
Diffraction,893514
Calanoida,844001
Towels,1153267
Art pottery,815769
Child welfare--Finance,854723
Mass,1011191
Hand weaving,950888
Horticultural products,960767
Floriculture,927668
Language disorders in children--Diagnosis,992381
Functional differential equations,936063
Children's choirs,855726
Wedding stationery,1173325
Stationery,1132045
Cardinals,847097
Nonresponse (Statistics),1736695
Sampling (Statistics),1104676
Water mills,1171803
Otomanguean languages,1048973
Etching,915741
Particle tracks (Nuclear physics),1054108
Sound--Recording and reproducing--Digital techniques,1126959
Economics--Mathematical models,902155
Compost,871782
Organic fertilizers,1047709
"Philosophy, Mexican",1061067
Trichoniscidae,1156601
Wood lice (Crustaceans),1738022
Automobiles--Brakes,823292
Entity-relationship modeling,912718
Information modeling,972569
Lettuce--Diseases and pests,996821
Riemannian manifolds,1097804
Sex in marriage,1114468
Orcinus,1047344
Delphinidae,889986
Remote sensing--Equipment and supplies,1094478
"Proverbs, American",1080226
Radio detectors,1087301
Radio circuits,1087290
Extinguishment of debts,918976
Pseudomogoplistes,1910087
Employees--Coaching of,1765531
Burkinabe literature (French),841810
Tanks,1142763
Corn--Clones,879014
Stone carving,1133837
Effigies,903777
Crab industry,1763635
Judaism,984280
Restraint of patients,1096008
Accidents--Prevention,795276
Occitan language,1043076
Tanoan Indians,1142842
Dredging,897926
Probability forecasts (Meteorology),1077754
Statistical weather forecasting,1132095
Power resources--Costs,1074287
Laity--Catholic Church,990819
Publishers' standard book numbers,1083526
Oleaceae,1045422
Water--Pollution--Research,1171336
Speechwriters,1129431
Radioisotopes,1088157
Karma,1198502
Ovaries--Cysts,1049288
Caricatures and cartoons,847532
"Wit and humor, Pictorial",1176313
Adoptive parents,797131
Pressure,1075931
Trypanosomatidae,1158279
Nigerian fiction (French),1746264
Nigerian literature (French),1742978
Malpighiaceae,1006821
Business life insurance,842750
Arcellidae,812858
Yolngu languages,1182937
Sports--Finance,1130455
Feynman diagrams,923541
Respiratory muscles,1095758
Horses--Wounds and injuries,960714
Vector bundles,1164656
Ryegrasses,1102646
Asian Americans--Religion,818662
Metabolic disorders in children,1017469
Power (Social sciences),1074219
Pressure groups,1075954
Industrial concentration,970912
Locomotion,1001722
Dibamidae,892768
Spatial analysis (Statistics),1128784
Regression analysis,1432090
Canadian wit and humor,845192
Microprogramming,1020033
"Prerogative, Royal",1075509
Indians in advertising,1909718
Space vehicles--Control systems,1127983
Frigates,935217
Undaria,1160865
Alariaceae,804077
Technological innovations--Forecasting,1145025
Heat storage devices,953986
Azolla,824670
Azollaceae,824677
Indigo snakes,1199725
Catechol,848985
Hairstyles,950431
Physical scientists,1062749
Irritation (Pathology),1741635
Colon (Anatomy)--Diseases,868416
Hylurgopinus,965442
Mycteria,1740099
Food crops,930761
Horticultural crops,960739
Finite geometries,924907
Full employment policies,936003
Digital watermarking,893746
Malayalam language,1006491
Music publishers,1030593
Liver--Abscess,1000618
Caprolactam--Derivatives,1923013
Leucoma,1737256
Railroad motorcars,1432168
Analgesia,808269
Preoperative care,1075481
Nanai (Asian people),1032568
Runways (Aeronautics),1101423
Proboscidactyla,1895075
Proboscidactylidae,1895077
Infant formulas,972054
Block printing,834512
Strategy,1134406
DNA polymerases,886595
Neuromuscular diseases,1036414
Nervous system--Diseases,1036098
Muscles--Diseases,1029962
Ex-prisoners of war,917468
Prisoners of war,1077227
Savings bonds,1106066
Contempt of court,876634
Conduct of court proceedings,874558
Sex addicts,1114246
Tunnels,1158996
Magic paraphernalia,1743633
Magic tricks--Equipment and supplies,1005508
Reptiles--Infections,1095039
Datura,888125
Student housing,1135919
Agriculture--Documentation,801410
Photography--Films,1061755
Public utilities--Accounting,1083132
Coating processes,865852
High technology,956404
Blood-vessels--Surgery,834862
Quantum groups,1085113
Laundry,993607
Part-time library employees,1054000
Library employees,997728
Anthomyiidae,810118
Biogeography,832095
Perfusion (Physiology),1057987
Urdu fiction,1162764
Installations (Art),974250
Erythrina,915070
Mat cutting (Pictures),1011624
Enterococcus,912611
Streptococcaceae,1134863
Heterocheirodon,1741107
Melanostomiidae,1015711
Superchargers,1138780
Pionus,1064477
Expectation (Psychology),918330
Foot--Examination,931299
Computer-aided engineering,872718
Production engineering--Data processing,1078287
Computer integrated manufacturing systems,872216
Freedom of expression,1200263
Dental deposits,890445
Sciomyzidae,1108968
Electronic funds transfers--Security measures--Standards,907221
Hindi periodicals,956982
Color codes,1741803
Phoenicurus,1061222
Lumbering--Equipment and supplies,1003607
Guanidines,1721200
Springs,1130935
Geothermal resources,941164
"Hyalistata, Fossil",964474
Altai literature,806022
Salmonidae--Infections,1104182
Plebejus,1067098
Deer hunting,889548
Cold start (Internal combustion engines),2008887
Brackish water fishes,837479
Lepisma,996315
Silver-gold alloys,1118977
Boarding schools,835102
Airplane racing,803050
Arboviruses,812837
Hydroformylation,964989
Formylation,932998
Hydroxylation,965329
Pork,1071836
Spinal cord,1129853
Mutation breeding,1031154
Kilns,987514
Electric furnaces,904831
Hemizonia,955003
Gerontology,942204
Snow sculpture,1121978
Pavements--Testing,1055436
Pavements--Live loads,1055363
Partition of decedents' estates,1054180
Bowling--Equipment and supplies,837238
Acute leukemia,796404
Leukemia,996894
Gloves,943657
Handbags,950923
Assault rifles,818984
Assault weapons,818986
Plants--Disease and pest resistance,1065855
Plant defenses,1065377
Plants--Hardiness,1066039
Cemeteries,850521
Chinese paper,1748204
Orange juice industry,1047151
Milk containers,1021676
Endothia,909838
Gnomoniaceae,943899
"Journalism, Socialist",984181
"Trigonioida, Fossil",1156710
Antirheumatic agents,810766
"Advertising, Outdoor",797948
Pictures,1063818
Woodwind reeds,1179850
Insects--Collection and preservation,974086
Mercy,1017156
Swans,1139938
"Liturgies, Early Christian",1000592
Malaysian literature (Chinese),1006582
Oil well casing,1044840
Oil wells--Equipment and supplies,1044929
Rectum--Radiography,1091974
Aeronautics--Human factors,798348
Encyclopedias and dictionaries,909533
Paria,1053547
Work boats,1180248
Dagaaba (African people),886727
Kandh (Indic people),985986
Mnium,1024185
Greek fiction,947160
Chlorine oxides,858132
Nzakara literature,1042493
Central African (Central African Republic) literature,1797758
Optical pattern recognition,1046784
Perceptrons,1057646
Automobile driver education--Equipment and supplies,822834
Loss control,1002638
"Goddesses, African",944188
Amiga (Computer)--Programming,807581
Selenides,1111400
Mytilidae,1031930
Socialist property,1123739
Blind--Intelligence testing,834325
Real property--Valuation,1091157
Deaf artists,888534
Artists with disabilities,817656
Geological modeling,940592
Appraisal of archival materials,811780
Archival materials,813991
Medical rehabilitation,1014582
Piranga,1064769
"Inscriptions, Irish",973890
Sewage--Purification--Precipitation,1113839
Precipitation (Chemistry),1074919
Harp,951579
Atmospheric pressure,820487
Aminoglycosides,807661
Steam-engines--Valve gears,1132370
Field-effect transistors,923928
Shared services (Management),1115267
Support services (Management),1139147
Emblemaria,908353
Icebreakers (Ships),1715754
Nuclear ships,1040883
Icons--Cult,966771
Polemics,1068339
Legal composition,995444
Wood-engravers,1179539
Engravers,912438
Printmakers,1076809
Emotional intelligence tests,908804
Political ethics,1069286
Business ethics,842675
School health services,1107437
Yellow pines,1182680
Alfa Romeo automobile,804770
Homografts,959717
"Folk drama, English",928802
Intensive care units,975936
Hospital wards,961098
Counting,881354
Iodobenzene,978554
"Coins, Afghan",866679
Information storage and retrieval systems--Wildfires,973073
"Law, Sumerian",994284
Symphoricarpos,1431568
Soil remediation,1124581
Extraction (Chemistry),919005
Hematoma,954921
Ferralsols,923035
Loricariidae,1002601
Sayornis,1106259
Tyrannidae,1160093
Wedding supplies and services industry,1173326
Cardinal virtues,847092
Virtues,1167724
Christian ethics,859107
Speech disorders in children,1129222
Fluidics,1729063
Boundary value problems--Numerical solutions--Data processing,837131
Molybdenum compounds,1024994
Silicides,1118627
Hazing,952574
Students--Conduct of life,1136056
Trichonymphidae,1156603
Entocolax,912719
Eulimidae,916474
Slides (Photography),1120898
Orconectes,1047345
Astacidae,819257
Coal ash,865228
Myodocopida,1031474
Aerofoils,798241
Theaters,1149370
Haunted places,951930
Catastrophizing,1764346
Glacial landforms,942969
Salt deposits,1104246
Income maintenance programs,968696
Sloops,1120945
Isotope geology,980223
New Zealand poetry,1036808
Language services,1198503
Property tax relief,1079186
Commercial finance companies,869485
Ovaries--Diseases,1049289
Community health aides,870931
Basic education--Examinations,828123
Songs with continuo,1126203
"Testacea, Fossil",1148232
Swine--Transportation,1140519
Colonies--Administration,868457
Martial law,1010862
Immobilized proteins,967844
Nobility,1038255
Romani literature,1099943
Beekeepers,829730
Catalan wit and humor,848630
Authoritarianism,821640
Narrative art,1032941
Art genres,1727049
Automobile racing--Employees,1767421
"Artillery, Self-propelled",817511
Estrone,915652
Proportional representation,1079244
Naval law,1035013
Crystallography,884652
Physical sciences,1062723
Responsibility,1095857
Republic aircraft,1749706
Educational games,903467
"Psychology, Military",1081605
Tar,1143040
Aluminum--Corrosion,806268
Dental insurance,1715805
Kikuyu poetry,1762940
Moplah literature,1026029
Anuroctonus,810935
Skiers,1120003
Kalapuya Indians,985790
Vertical distribution (Aquatic biology),1165594
Quakers,1084913
Calcium--Metabolism--Disorders,844046
Sailing ships,1103529
Charcoal,852320
Carbonization,846943
Museum information networks,1741924
Democracy,890077
Proton exchange membrane fuel cells,1743352
Tobacco--Analysis,1151800
Aplocheilidae,811372
Uric acid,1162912
Diabetes,892147
Arteritis,817091
Arteries--Diseases,817064
Vasculitis,1164508
Banners,827154
Copperhead,878579
Agkistrodon,800383
Clingfishes,864327
Gobiesociformes,944016
Chilo,857022
Rice--Diseases and pests,1097345
Centrifugal pumps,850816
Hawaiian art,1199627
"Mural painting and decoration, American",1029575
Latin American drama,993020
Rug and carpet industry,1101085
Akan (African people),803936
Schemes (Algebraic geometry),1106668
Youths' writings,1183696
Information storage and retrieval systems--Geography,972885
Hadron spectroscopy,950156
Foundation garment industry,933259
Cement industries,850467
Turkmen poetry,1159567
Gold,944368
Vertigo,1165632
Deafness,888573
Labyrinth (Ear)--Diseases,990457
Teen films,1733448
Diceros,892806
Hindi prose literature,956999
Guanethidine--Derivatives,948741
"Drosophilidae, Fossil",898434
Hagfishes,950222
Myxini,1031944
Strangers,1134317
"Bronzes, Etruscan",839569
Iranxe language,978828
Modern movement (Architecture),1024437
Leaching,994546
Public art,1082064
Petrodromus,1059245
Elephant shrews,908007
Cattle--Feeding and feeds,849548
Cuora,885213
Oceanographic research ships,1043651
Cancer--Patients,845411
Criminal intent,883192
Mistake (Law),1023958
Brewing,838522
Rorquals,1100455
Cetacea,851577
Baleen whales,825771
Baby foods,825000
Consent (Law),875478
Sexual ethics,1114835
Latvian literature,993477
Telegraph--Alphabets,1146131
Alphabets,805974
Physical laboratories,1062687
Harvesting machinery,951770
Prakrit poetry,1074646
Panorpidae,1052201
Drinking of alcoholic beverages,898212
Air heaters,802389
Medical personnel--In-service training,1014431
Castilleja,848419
Methodology,1018722
Immunogenetics,967949
Child saints,854639
Water waves,1172250
Wind waves,1175731
Talmudic academies,1142356
Sanhedrin,1104995
Porcellana,1742899
Porcelain crabs,1721359
Cartularies,848097
Monologues,1025594
Monologue,1025591
Khakass language,987048
Insect traps,974043
Insect trapping--Equipment and supplies,1765934
Insect pests--Control--Equipment and supplies,974001
Animal traps,809412
Dornier aircraft,897000
God (Islam)--Name,944149
Judgment,984572
Size perception,1119861
Comedians,869077
Byzantine wit and humor,843243
Algae--Control--Equipment and supplies,1202132
Biological monitoring,832280
Poisons--Analysis,1068185
Oromo language,1048400
Amateur radio stations,806677
Aquatic resources,812085
Outcasts,1049106
Runes,1101333
Floating harbors,927425
"Sextets (Horn, trombone, trumpets (2), tuba, percussion)",1114754
Price cutting,1076158
Behavior evolution,829910
Evolutionary psychology,917348
Tulu fiction,1741166
Tryptamine,1158302
Ukrainian language--Dialects,1160458
Forensic cardiology,931957
Advertising--Libraries,797681
Lutheran Church--Education,1004023
Christian universities and colleges,1735737
Finishes and finishing,924885
Copper industry and trade,878472
Metal trade,1017701
Halibut,950569
Paralichthys,1052912
Holiday cooking,1753824
Spectroscope,1129106
Spectrum analysis--Instruments,1129117
Appraisers,811781
Mining machinery--Parts,1022986
"Agriculture, Prehistoric",801820
"Inscriptions, Italic",973891
Motor vehicle industry,1027695
Guerrilla warfare,948929
Scaphiopus,1106509
Joking,983954
"Gods, Vedic",944316
Barium salts,827570
Pollution--Physiological effect,1070143
Camsa literature,1201981
Dogs--Parasites,896333
Cats--Parasites,849420
Magnetic induction,1005719
Nuclear moments,1040375
Electromagnetic theory,906570
Clothing and dress--Labeling,864698
Lampornis,991154
Hummingbirds,963726
Gang members,937672
Christian youth,859596
Saint Thomas Christians,1103637
Carnivorous plants,847693
Acrocheilus,796070
Wood products,1179332
Gasoline industry,938764
Fuel trade,935879
Unidentified flying objects--Sightings and encounters,1161320
Dominican American literature (Spanish),1200766
Iotichthys,978721
Crows,884331
Corvus,880441
"Panel painting, Medieval",1052069
Mine subsidences,1022169
Subsidences (Earth movements),1136712
Municipal finance,1029264
Default (Finance),889572
Information storage and retrieval systems--Youth services,973074
Children and adults,855212
Sceloporus,1106601
"Engineers--Salaries, etc.",910674
Water lilies,1171797
Aquatic plants,812059
Hydrocotyle,964883
Textulariidae,1148979
College sports,867925
Hematopoiesis,954922
Belarusian fiction,830000
Oxo compounds,1049591
Oxygen compounds,1894867
Oligopeptides,1045459
Mbo language (Cameroon),1012988
Marine microbiology,1009736
Water--Microbiology,1171249
"Slavs, Southern",1120797
Live loads,1739106
Papaveraceae,1052326
Germanic philology,942066
Canasta (Game),845293
Fishes--Effect of water levels on,926456
Semiconductors--Defects,1112211
Toasts,1151772
Articulation disorders in children--Diagnosis,817199
Noturus,1039661
Grossulariaceae,1201679
Sulfides,1716037
Cooperative cataloging,1728164
School enrollment,1107370
Presidents--Staff,1075812
"Sculpture, Mexican",1109786
Hypermastigida,965793
Manchu language,1007389
"Geometry, Non-Euclidean",940928
Medicine and psychology,1015154
Pomarea,1070870
Western films,1174006
Navigation (Aeronautics),1035141
Industrial engineers,971016
Women engineers,1177630
In-house services (Business),968357
Customer services,885545
Uzbek language,1163399
Trap (Music),2002846
Jewish sermons,982985
Jewish religious literature,982938
Percussionists,1057758
Dreissena,897961
Rockabilly music,1099294
Conditional sales,1728132
Jewish arts,1730484
Lava,1198504
Naval strategy,1035038
Managed mental health care,1007134
Mentally ill children--Education,1016784
Part songs,1053957
Vocal music,1168379
Arcellinida,812859
Anxiety,810950
Critical point theory (Mathematical analysis),883685
Metaplasia,1018314
Diseases--Causes and theories of causation,895163
Alcohol ethoxylates,804325
Ethoxylates,916213
Surface active agents,1139197
Phin (Plucked instruments),2002098
Drag racers,897360
Women automobile racing drivers,1177340
Plant molecular genetics,1065562
Recitations,1091407
Choral speaking,858551
Chilean wit and humor,857000
Alkali land conservation,1200988
Khari Boli literature,987094
Performance,1057829
Vagina,1163651
Ethylene compounds,916239
Heat resistant materials,953968
Law and gospel,993910
Law (Theology),993883
Conducting polymers,874590
Massasauga,1011504
Catecholamines,848987
Chromaffin cells,859918
Single people,1119415
Vultures,1169370
Isoantigens,980142
Erythrocytes,915080
Fire prevention--Research,925487
Medical protozoology,1014539
Protozoology,1080148
Reed organ,1092333
"Mythology, Germanic",1031795
Indians of North America--Ethnobotany,969735
Glycine,943762
Aquatic biodiversity,1737875
Heating from central stations,954082
Solar heating,1125079
Music trade,1030641
Estrogen--Agonists,915635
Estrogen--Antagonists,915638
Religious newspapers and periodicals,1094196
Skis and skiing--Equipment and supplies,1120176
Blues (Music),835056
Vertical drains,1165595
Cheilostomata,852778
Athecate hydroids,1864958
"Natural resources, Communal",1034516
Quaker scientists,1084909
"Unmarried couples--Legal status, laws, etc.",1161981
Acipenseriformes,795845
DNA probes,886597
Nucleic acid probes,1041068
Deoxyribonucleotides,890777
Plasma diagnostics,1066310
Contempt of legislative bodies,876636
Legislative bodies,995690
Drinking vessels,898242
Adult college students--Services for,797273
Natural resources conservation areas,1034506
Oirats,1045058
Sorbian literature,1126750
Aplodinotus,811373
Sciaenidae,1108161
Hemolymph--Infections,1903441
Crustacea--Infections,1902948
Trout industry,1157578
Orthogonal polynomials,1048521
Dermacentor,891037
Anthonomus,810119
Tellurium alloys,1147172
Clinics--Employees,864447
Western Desert languages,1773695
Chloebia,858048
Magnetization,1005854
Drilling and boring,898110
Horticultural machinery,960765
Marathi drama,1008876
Schendylidae,1106669
Geophilida,940985
Streptococcus,1134867
Torymidae,1152989
Radicals (Chemistry),1087043
Pipa (Amphibians),1064479
Pipidae,1064714
Isotopic power generators,980243
Space vehicles--Nuclear power plants,1128050
Wilderness areas,1175164
National parks and reserves,1033642
Motor vehicles--Catalytic converters,1027740
Textile fiber industry,1148790
Gestalt psychology,942264
Formica (Insects),932960
Plants--Effect of heat on,1065942
"Thermal pollution of rivers, lakes, etc.",1149776
Plants--Effect of pollution on,1065977
Startle reaction,1131738
Women educators,1177603
Equations of state,914502
Loganiaceae,1001930
Soil microbiology,1124483
Caecincola,843829
Haggadot,950223
Seder--Liturgy,1110935
Family demography,920329
Families--Research,1728937
First aid in illness and injury,925747
Respiratory organs--Obstructions--Treatment,1095799
Respiratory organs--Foreign bodies--Treatment,1095795
Yupa Indians,1183901
Supersonic planes,1138999
Miles airplanes,1020827
Bacterial pigments,825233
Microbial pigments,1019541
Animal trainers,809408
Pomo languages,1070900
Public art--Awards,1082065
Fescue,923315
Deep-sea ecology,889505
"Nerves, Cranial",1036064
Glass--Finishing,1751220
Elegiac poetry,907794
Rorschach Test,1100456
Piety,1063913
Christian life,859185
Spiritual life,1130100
Lactates,990594
Veganism,1164728
Vegetarianism,1164896
Prostoma,1079593
Tetrastemmatidae,1148449
Ralstonia,1089656
Pseudomonadaceae,1080873
Telegraph--Automatic systems,1146132
Characteristic functions,852292
Digital preservation,893721
Provençal poetry,1080193
Hyperoliidae,965797
Files (Records),924153
Pamphlets,1051868
Library materials,997799
"Clippings (Books, newspapers, etc.)",864482
Tantric Buddhism--Clergy,1752447
Konkani language,988473
Recollection (Psychology),1091460
Christian children,858943
Dzongkha literature,900391
Frozen seafood,935518
Broadcast advertising,839159
Life skills,998359
Social learning,1122621
Hoplolaimidae,960159
Besemah literature,830853
Common interest ownership community associations,1740139
Biological pest control agents,832281
Natural pesticides,1034388
Mathematical models,1012085
Simulation methods,1119166
Logos (Christian theology),1002124
Word of God (Christian theology),1716072
Bisque dolls,833441
Parian porcelain,1053552
Scarabs,1106532
Car pools,846635
Ridesharing,1097753
Azerbaijani fiction,824614
Teenagers--Mortality,1145627
Mixing,1024112
Interpersonal communication,977344
Women dancers,1177550
Break dancers,1737668
Single parents,1119390
Rural parents,1101742
Sulfur dioxide,1723415
Sulfur oxides,1721451
Data transmission systems--Standards,888020
Serotonin--Agonists,1113325
Usury laws,1163243
Loans--Law and legislation,1001057
Immoral contracts,967846
Stick-nest rats,1133349
"Manuscripts, Indic",1008370
"Algebras, Linear",804946
Color--Psychological aspects,868512
Athletes with disabilities,820083
Railroads--Models,1089066
Picnics,1732289
Thigh,1150001
Goats--Infections,943998
Tax incentives,1143783
Tax expenditures,1143776
Okkaligas,1045152
Police questioning,1068663
Barium compounds,827564
Confidence voting,874698
Legislative bodies--Voting,995788
Cabinet system,843554
Cormorants,878989
Pelecaniformes,1056649
Emblemariopsis,908355
Chaenopsidae,851693
Communism and literature,870509
Consulting firms,876228
Brass band music,837950
Band music,826435
Airports--Equipment and supplies,803765
"Mollusks, Fossil",1024946
Pitchers,1064888
Municipal emblems,1029245
Information superhighway,973075
Photosynthetic bacteria,1062127
Centrophoridae,1983427
Squaliformes,1131063
Eye--Examination,919157
Water lilies--Diseases and pests,1171798
Street-railroads--Buildings and structures,1134735
Auriculariales,821352
"Heraldry, Sacred",955294
Older parents,1045403
Stars--Masses,1131681
Fishes--Effect of water pollution on,926457
Partitions (Mathematics),1054188
Cut flowers--Marketing,885623
Fireproofing of fabrics,925692
Delay lines,889914
Automatic timers,822779
Slender salamanders,1120889
Electric utilities,905974
Pickerels,1063668
Esox,915352
Myrsinaceae,1031565
Bauhinia,828942
Caesalpiniaceae,843855
Criminology,883566
Oniscidae,1045919
Trichophryidae,1156605
Huarpe languages,962639
Minks,1023032
History--Sources,958295
Superstition,1139022
Witchcraft,1176327
Cucurbita pepo,884912
Squashes,1131102
Information scientists,972688
Women in information science,1177905
Acyltransferases,796421
Corn--Cytology,879034
Fashion,921600
Geothlypis,941193
Poetry--Authorship,1067694
Solids,1125500
Pucadelphys,1083529
"Opossums, Fossil",1046593
Lile,998768
Achroia,1744839
Aliens,805278
Information storage and retrieval systems--Soybean,973043
Leishmaniasis,996007
Negligence,1035511
Economics literature,902252
Lobosa,1001171
Sterna,1133242
Terns,1147958
Peripheral vision,1058170
Vision,1167852
Professional education,1078455
Goldsmiths,944605
Plant genetics--Technique,1065463
Indologists,970541
Winteraceae,1176134
Spanish literature--Classical period,1711000
"Painting, Spanish",1051101
Witchweeds,1431808
Vagina--Abnormalities,1163652
Faith (Buddhism),919953
Tour guides (Persons),1153125
Volunteer workers in museums,1169094
Armored cars (Military vehicles),1909235
Meadowlarks,1013120
Moderation,1024410
Vellalas,1165080
Pandion,1052023
Wounds and injuries--Infections,1181499
Fagales,919819
Hylurgus,965445
Bark beetles,827583
Hawaiian children,1749891
Citrus--Diseases and pests,861973
School age (Entrance age),1106971
Mental age,1016321
Douglas DC-4 (Transport plane),1744276
Vietnamese language--Data processing,1765725
Marine resources conservation,1009907
Aquatic biodiversity conservation,1737876
Proxy,1080696
Phenol,1060490
Campostoma,844958
Music radio stations,1030596
Attorneys general,820898
Government attorneys,945189
Coaches (Athletics),865044
Patents,1054862
Universities and colleges--Entrance examinations,1161713
Motor vehicle scales,1027710
Scales (Weighing instruments),1106323
Polymerase chain reaction,1070553
Ivoirian literature (French),1432146
Desmia,1737259
Crambidae,1921000
Nuristani (Asian people),1041444
Diaphragmatic hernia,892636
Savara (Indic people),1105951
Procedure calls (Computer programming),1895078
Computer programs--Execution--Management,1766029
Christian physicians,859364
"Priests, Jewish",1076291
"Acipenseriformes, Fossil",795846
"Porcelain, Japanese",1071771
"Associations, institutions, etc.--Management",819198
Television--Production and direction,1146585
Television--Stage-setting and scenery,1146620
Ghanaian fiction (English),942317
Jewish teachers,983031
Kidnapping,987322
Bugatti automobile,840495
Plateau languages (Benue-Congo),1430974
Snare drum,1121863
Clam populations,1763378
Shellfish populations,1115709
Enthusiasm,912699
Shahaptian Indians,1115081
Aplodontidae,811375
Diarrhea in animals,892693
Veterinary gastroenterology,1165944
Alloxuric substances,805704
Nitrogen excretion,1038083
Urine--Analysis,1162975
Purines,1084343
Identification (Psychology),966867
Creek art,882732
Chionis,1893211
Numic Indians,1041321
Kathetostoma,1201574
Real estate development,1090973
Clinical biochemistry,864329
Kuki (Indic people),989266
Police films,1068601
Paramesochridae,1052989
Schools--Accounting,1107959
Mexican drama,1019199
Five Civilized Tribes,926866
"Painting, English",1050797
Newborn infants--Wounds and injuries,1430892
Space ships,1127844
Space stations,1127891
Foundation garments,933261
"Electric motors, Synchronous",905326
Sugars,1137549
Tuvinian poetry,1159769
Packet switching (Data transmission)--Standards,1050228
People with disabilities--Means of communication,1057303
Dental economics,890448
Medical economics,1014004
Nucella,1039870
Ship decoration,1116157
Muralists,1919419
Animal anesthesia,809076
Animal immobilization,809237
Ion exchange,978577
Formicariidae,932961
Manned undersea research stations,1007799
Oceanographic research stations,1043658
Minority executives,1023350
Women executives,1177651
College facilities,867783
Readers (Adult),1090599
Generative organs--Infections,939907
Warts,1170899
Automatic data collection systems,822733
Plant growing media,1065466
Automobiles--Radio equipment,823806
Automobiles--Electronic equipment,823428
Amphetamines,807883
Propiophenones,1762172
Roglai language,1099590
Olympic athletes,1764756
Petrofabric analysis,1059247
Dunaliella,899467
Polyblepharidaceae,1070302
Marine fishes,1009582
Mongolian wit and humor,1025419
Hypoglycemia,966006
Insulin,974479
Blood sugar,834825
Hypoglycin A,966020
Arbacia,812752
Arbaciidae,812754
Transgenic animals,1154666
Transgenic organisms,1154670
Lactation,990595
Milk yield,1021732
Are literature,814180
Alcyonidiidae,804643
Amaranths,806639
Ancylostoma,808510
Ancylostomatidae,808514
Ischemia,979713
Extremities (Anatomy)--Blood-vessels--Diseases,919074
Electric lamp industry,905034
Design services,891310
Vibratory compacting,1166217
"Feuilletons, German",923509
Ultraviolet radiation,1160745
