Label_Value,Code
Morphology,1026452
Teratogenesis,1147797
Environmentalism,913543
Animals--Age determination,1429786
Birds--Habitat,833023
Natural areas,1033960
Global temperature changes,943494
Posture,1073236
Biological control systems,832202
Abdomen,794279
Invertebrates--Anatomy,978113
Pushtuns,1084461
Hirundo,957310
Fula fiction,1746250
Fula literature,935995
Interpersonal attraction,977341
Relational grammar,1093580
Rare earth metals,1090143
Carbides,846744
Transition metal compounds,1154766
Percussion instruments,1057730
Lists,999835
Diet therapy,893321
Argentine literature,814270
Communication--Psychological aspects,869986
Interpersonal relations,977397
Symphyotrichum,1140984
Scolytus,1109048
Printing,1076612
Andropogon,808600
Grasses,946724
Hunting,964162
Basidiomycetes,828163
Periapical diseases,1057994
Dental pulp--Diseases,890573
Satire,1105668
Constitutional amendments,875758
Constitutional law,875797
Constitutions,875851
Ford automobile,931655
Telencephalon,1146223
Prosencephalon,1079385
Photographs,1061684
Desmoschoenus,891400
Cyperaceae,886109
Executions (Law),917762
Oaths,1042646
Collection laws,867181
Bankruptcy,826826
Debtor and creditor,888809
Monarchy,1025055
Cinematography--Special effects,861506
Elections,904324
Thecla,1904919
Marathi poetry,1008931
Hanging parrots,1742475
Parrots,1053920
Art museum curators,815624
Teenagers,1145551
"National characteristics, American",1033342
Investigations,978151
Washers (Fasteners),1170914
Hardware,951378
Radio,1087053
Agricultural laws and legislation,801020
Reconstruction (Linguistics),1091551
Historical linguistics,958134
Hypera,965689
Metric system,1018814
Weights and measures,1173497
Icing (Meteorology)--Physiological effect,966744
Estates (Social orders),915510
Iurus,1744005
Iuridae,980854
Vegetable trade,1164765
Frozen foods industry,935467
Transportation--Planning,1155146
Landforms,991689
Wetlands,1174194
Aluminum sulfate,1721090
Scarabaeidae,1106526
Museums,1030128
Iranian languages,978799
Portuguese poetry,1072610
Capacity and disability,846210
Status (Law),1132171
Motorcycle industry,1028029
Dogs,896265
Forgery,932815
Nicknames,1037529
Insects--Larvae,974135
Shellcraft,1115661
Shells,1115719
Handicraft,950959
Jumping,984818
Skis and skiing,1120169
Hexatrygonidae,955881
Stingrays,1133464
Rajiformes,1089629
Structural frames,1135685
Structural analysis (Engineering),1135602
Structural engineering,1135658
Structural design,1135628
Wattles (Plants),1172858
Acacia,794934
French fiction,934302
Magnoliales,1005937
Biochemical genetics,831949
Mutation (Biology),1031152
Chadian fiction (French),851680
Neurology--Research,1036400
Architecture--Details,813413
Fortification,933024
Mentally ill,1016699
Law and biology,993897
Contemporary Christian music,876620
Sacred vocal music,1103213
Popular music,1071422
Gospel music,945026
Typhlorhode,1160034
Dysderidae,900341
Hispanic American literature (Spanish),957411
Spanish literature,1128568
Uzbek literature,1163431
"Textile fibers, Synthetic",1148808
Synthetic fabrics,1141206
Gonimbrasia,944848
Culture,885059
Belarusian literature,830033
Cellulose insulation,850367
Chess--Defenses,1767652
Dispensationalism,895288
"Theology, Doctrinal",1149617
Mycoplasma diseases in plants,1031325
Cotton--Diseases and pests,880871
Tanner crabs,1142817
Gaultheria,939008
Ericaceae,914673
Educational law and legislation (Canon law),903524
"Preservation of organs, tissues, etc.",1075691
Printing plates,1076771
Printing machinery and supplies,1076743
"Cranes, derricks, etc.",882184
Chelus,852821
Chelidae,852799
Artificial satellites,817346
Ephemeridae,913679
Balts (Indo-European people),826267
Immunity,967888
Immunology,968006
Musical meter and rhythm,1030774
"Music--Interpretation (Phrasing, dynamics, etc.)",1030374
Electrolytic corrosion,906502
Corrosion and anti-corrosives,880341
Electrolysis,906480
"Gods, Roman",944297
Chinese drama,857335
Aviation ground crews,824352
Mechanics (Persons),1013470
Rorippa,1100452
Turkic peoples,1159375
Nickel alloys,1037466
Conduct of life,874563
Hemoglobinopathy,955064
Anemia,808617
Corrections,880260
Tungusic peoples,1741849
Supramolecular chemistry,1139159
"Chemistry, Physical and theoretical",853521
Drainage,897411
Carassius,846707
Lease and rental services,995021
Service industries,1113407
Coffee making paraphernalia,866386
Liolaemus,999312
Tropiduridae,1157506
Bundeli poetry,841599
Ecuadorian prose literature,902377
"Postal service--Transportation, Automotive",1072996
Scheduling,1106653
Time management,1151114
Insect communities,973983
Invertebrate communities,1741115
Insects--Ecology,974103
Hydraulic torque converters,964752
Environmental law,913122
Building fittings,840668
Potatoes,1073379
Moinidae,1024608
Cladocera,863181
Pedodontics,1056556
Kannada literature,986070
Embryos,908446
Zeiraphera,1184174
Cloud physics,864839
Atmospheric electricity,820428
Sports tournaments,1130786
Industrial location,971222
Space in economics,1127736
Regional planning,1093120
Serbo-Croatian language,1112967
Timber--Storage,1151026
Integral inequalities,975513
Inequalities (Mathematics),972020
Transportation museums,1155317
Land companies,991246
"Land use, Rural",991587
Public lands,1082573
Land grants,991259
Embedded computer systems,908298
Public health laws,1082364
Listeria,999828
Gram-positive bacteria,946123
Coelastrum,866256
Scenedesmaceae,1106619
Social psychiatry,1122811
Mental health,1016339
Psychiatry,1081152
Social psychology,1122816
Social medicine,1122637
Bubo,839959
Keyboard players,987004
Instrumentalists,974428
Braj drama,837797
Philologists,1060688
Scholars,1106878
Rajput (Indic people),1089632
Cognition in children,866501
Water--Purification--Biological treatment,1171373
Bioremediation,832694
Signal integrity (Electronics),1747327
Signal theory (Telecommunication),1118306
Signs and symbols,1118355
"Unionoida, Fossil",1161412
"Bivalves, Fossil",1715647
Territorial waters,1148085
Industrial sociology,971738
Sociology,1123875
Heat budget (Geophysics),953850
Assyrian Church of the East members,1761955
Syriac Christians,1141322
Homo erectus,959705
Diagnostic microbiology,892375
"Diagnosis, Laboratory",892307
Medical microbiology,1014362
Imaginary places,967571
Retrovirus infections,1096403
Virus diseases,1167739
Kotoko languages,989034
Serbian poetry,1112955
Drill and minor tactics,898094
